CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
364,,,base,interview,2021-02-12 10:07:26,47,männlich,mit meinem*meiner Parnter*in.,2,während des ganzen Semesters erwerbstätig.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,27.0,,,,,,,,,,,,,,,,,,,,32.0,,2021-02-12 10:07:58,abgebrochen,Teilnehmer,2.0,2.0,0.0,0.0,,3.0
366,,,base,interview,2021-02-12 10:35:12,18,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,MA,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,14.0,NMS,3,Dezember 2020,3.0,3.0,2.0,trifft voll zu,3.0,3,9,1,0,0,8,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,38.0,45.0,,95.0,35.0,100.0,74.0,,,,,,,,,,,,,,395.0,,2021-02-12 10:41:47,abgebrochen,Teilnehmer,8.0,8.0,8.0,2.0,,0.0
368,,,base,interview,2021-02-12 11:06:24,25,weiblich,mit anderen Personen zusammen.,,gelegentlich während des Semesters erwerbstätig.,5,äußerst wichtig,äußerst wichtig,,,GS,GW,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,5.0,NMS,3,Februar 2021,3.0,3.0,3.0,3.0,2.0,6,8,1,,,2,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,,,,,,,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,,trifft zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher zu,trifft nicht zu,trifft zu,trifft eher zu,trifft nicht zu,trifft zu,trifft nicht zu,,,MDT8B,5.0,22.0,36.0,,52.0,52.0,61.0,53.0,70.0,,,43.0,,,,,,,,59.0,22.0,475.0,,2021-02-12 11:14:19,ausgefüllt,Teilnehmer,22.0,22.0,25.0,19.0,,14.0
369,,,base,interview,2021-02-12 11:07:07,18,weiblich,alleine.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,MG,BE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,8.0,NMS,2,Dezember 2020,2.0,3.0,3.0,2.0,2.0,2,7,1,0,0,10,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,6.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,,,,,,,,,,,,3.0,3.0,trifft voll zu,3.0,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,3.0,4.0,2.0,3.0,,,,,,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,,,CES16G,22.0,21.0,22.0,,31.0,24.0,77.0,57.0,66.0,,,80.0,,,,,,,,51.0,36.0,487.0,,2021-02-12 11:15:14,ausgefüllt,Teilnehmer,22.0,22.0,12.0,7.0,,17.0
372,,,base,interview,2021-02-12 11:39:38,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,EH,EN,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,15.0,NMS,2,Februar 2021,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,51.0,,35.0,25.0,,,,,,,,,,,,,,,,132.0,,2021-02-12 11:41:50,abgebrochen,Teilnehmer,6.0,6.0,12.0,3.0,,16.0
374,,,base,interview,2021-02-12 12:23:02,18,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,PuP,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,24.0,4.0,NMS,20,Dezember 2020,2.0,2.0,2.0,trifft voll zu,trifft voll zu,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,teils/teils,trifft zu,trifft eher zu,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,,,,,,,,,,,,trifft voll zu,2.0,trifft voll zu,2.0,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,20.0,24.0,,32.0,41.0,68.0,81.0,83.0,,,,,,,,,,,,,353.0,,2021-02-12 12:28:55,abgebrochen,Teilnehmer,11.0,9.0,17.0,10.0,,15.0
378,,,base,interview,2021-02-12 17:33:00,22,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,20,äußerst wichtig,äußerst wichtig,,,KR,EN,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,4.0,"BMHS (z. B. HTL, HAK, ...)",2,Februar 2021,3.0,2.0,3.0,trifft voll zu,3.0,3,20,2,10,2,9,5.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,12.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,25.0,,25.0,25.0,234.0,66.0,,,,,,,,,,,,,,427.0,,2021-02-12 17:40:07,abgebrochen,Teilnehmer,8.0,8.0,5.0,0.0,,14.0
380,,,base,interview,2021-02-12 18:26:55,22,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,EH,MA,7,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,65.0,15.0,NMS,2,Februar 2021,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3,7,00,"5,99",,02,5.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,39.0,62.0,,45.0,62.0,212.0,,,,,,,,,,,,,,,437.0,,2021-02-12 18:34:12,abgebrochen,Teilnehmer,7.0,7.0,12.0,5.0,,0.0
382,,,base,interview,2021-02-12 19:46:00,21,männlich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,4,äußerst wichtig,6.0,,,EN,KR,6,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,30.0,29.0,AHS,2,Dezember 2020,2.0,trifft gar nicht zu,2.0,2.0,3.0,,,,,,,4.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,teils/teils,teils/teils,trifft eher zu,trifft eher nicht zu,teils/teils,weniger flexibel einteilen,,,,"Unterschiedliches gelernt, nämlich:","- online classroom, Materialien zusammenstellen -> nur theoretisches hauptsächlich",,,,,,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,3.0,3.0,2.0,3.0,trifft voll zu,trifft voll zu,3.0,2.0,3.0,trifft voll zu,3.0,3.0,trifft voll zu,3.0,2.0,2.0,nie,2.0,2.0,nie,4.0,5.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,5.0,5.0,2.0,nie,4.0,5.0,5.0,nie,nie,nie,2.0,4.0,2.0,nie,nie,nie,nie,5.0,nie,nie,2.0,2.0,4.0,2.0,2.0,nie,2.0,5.0,5.0,nie,5.0,5.0,3.0,5.0,sehr häufig,sehr häufig,5.0,3.0,3.0,2.0,nie,3.0,5.0,5.0,trifft voll zu,5.0,trifft voll zu,5.0,trifft voll zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft eher zu,trifft nicht zu,trifft zu,teils/teils,trifft nicht zu,trifft eher zu,trifft nicht zu,"- Normal wieder unterrichten (man kann einPrkatikum nicht dur distance ersetzen)! Wir brauchen als LUL auch die Sozialkompetenz. <br>- ich fühle mich als Lehrer irgendwie unvorbereitet und unfähig; besonders als Lehrerpersönlichkeit konnte ich mich nur gering entwickeln... es fehlt einfach die Praxis und das Ausprobieren und Experimentieren. <br>- theoretisches reduzieren und ""ab in die Praxis"" wäre besset als die Begleitlehrveranstaltungen. Wir denken zu viel und tun als Lehramtssudenten zu wenig. Es wäre ein Sprung in die Praxis oft besser als die vielen Theorien...",,Ers6G,4.0,25.0,44.0,,65.0,35.0,132.0,45.0,69.0,67.0,38.0,31.0,102.0,,,,,75.0,68.0,247.0,57.0,940.0,,2021-02-12 20:04:25,ausgefüllt,Teilnehmer,22.0,22.0,11.0,8.0,,7.0
383,,,base,interview,2021-02-12 19:46:37,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,5.0,,,GW,EN,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,55.0,30.0,NMS,2,Dezember 2020,3.0,3.0,3.0,3.0,3.0,2,18,5,6,2,17,3.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,7.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,teils/teils,trifft eher zu,teils/teils,teils/teils,trifft eher zu,trifft nicht zu,keine Änderungen,,weniger gelernt,keine Änderung,Ähnliches gelernt,,weniger aktiv eingebracht,größer,weniger gut,keine Änderung,"Die Zuteilung der Praxisplätze sollte in Zukunft immer online (5 Wunschschulen in Umfrage + Benachrichtigung per Mail) erfolgen, da das vorherige System mit den Doodle-Terminen (an die sich so viele Studierende nicht gehalten haben!) ziemlich unfair war. Ebenso ist die Anmeldung zu den Begleit-LVs via PH-online um einiges fairer als das ""first come first serve"" Prinzip vor Corona.",2.0,3.0,2.0,2.0,trifft gar nicht zu,2.0,trifft gar nicht zu,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,nie,nie,nie,4.0,3.0,nie,2.0,nie,2.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,nie,2.0,3.0,nie,nie,sehr häufig,2.0,nie,nie,nie,2.0,nie,2.0,nie,5.0,5.0,4.0,nie,nie,nie,nie,3.0,nie,3.0,2.0,2.0,nie,2.0,2.0,2.0,3.0,4.0,5.0,nie,2.0,4.0,nie,3.0,nie,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nie,nie,nie,2.0,nie,nie,2.0,2.0,2.0,5.0,3.0,2.0,trifft eher nicht zu,teils/teils,teils/teils,teils/teils,trifft zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft eher zu,trifft eher zu,teils/teils,trifft zu,teils/teils,teils/teils,teils/teils,trifft eher nicht zu,,,HMJ7B,44.0,82.0,80.0,,171.0,46.0,311.0,121.0,468.0,101.0,99.0,77.0,93.0,135.0,122.0,89.0,165.0,,,183.0,89.0,1784.0,,2021-02-12 20:27:54,ausgefüllt,Teilnehmer,22.0,22.0,3.0,1.0,,0.0
384,,,base,interview,2021-02-12 20:46:23,23,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,BU,EN,3,nein,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,38.0,84.0,,,,,,,,,,,,,,,,,,,125.0,,2021-02-12 20:48:28,abgebrochen,Teilnehmer,3.0,3.0,38.0,27.0,,11.0
388,,,base,interview,2021-02-13 08:50:36,23,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,20,äußerst wichtig,,,,Sonstiges,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.0,49.0,,,,,,,,,,,,,,,,,,,82.0,,2021-02-13 08:51:58,abgebrochen,Teilnehmer,3.0,3.0,19.0,8.0,,11.0
391,,,base,interview,2021-02-13 18:56:37,41,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,18,äußerst wichtig,äußerst wichtig,,,IP,EN,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,41.0,6.0,NMS,3,Februar 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,2,6,2,5,0,12,5.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,teils/teils,trifft nicht zu,flexibler einteilen,,keine Änderung,keine Änderung,"Unterschiedliches gelernt, nämlich:","mehr digitale Tools, virtuelles Klassenzimmer, neue online-Konzepte + Durchführungen",keine Änderung,gleich,gleich,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,3.0,3.0,trifft voll zu,sehr häufig,5.0,4.0,2.0,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,sehr häufig,sehr häufig,4.0,3.0,4.0,3.0,5.0,4.0,4.0,sehr häufig,sehr häufig,3.0,5.0,4.0,4.0,nie,4.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,3.0,4.0,2.0,sehr häufig,4.0,2.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,nie,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,teils/teils,,,AJB27G,50.0,60.0,52.0,,38.0,31.0,107.0,68.0,72.0,132.0,33.0,42.0,126.0,,,,,124.0,41.0,90.0,47.0,1068.0,,2021-02-13 19:15:10,ausgefüllt,Teilnehmer,22.0,22.0,3.0,0.0,,4.0
